Ata;Dia;Vereadores Presentes;Vereadores Ausentes;Leis;Link da Ata
30ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;26 de Junho de 2025;Adriana Gerônimo, Aglaylson, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Cláudio Lima, Dr. Vicente, Gardel Rolim, Igor Nogueira, Inspetor Alberto, Irmão Leo, Janio Henrique, Juninho Aquino, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Michel Lins, Paulo Martins, PP CELL, Professor Aguiar Toba, Raimundo Filho, Tia Francisca, Tony Brito e Wellington Sabóia;Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Emanuel Acrízio, Estrela Barros, Gabriel Aguiar, Jorge Pinheiro, Julierme Sena, Mari Lacerda, Priscila Costa, Professora Adriana Almeida, Professor Enilson, René Pessoa, Ronaldo Martins e Tam Oliveira;0009/2025, 0077/2023, 0086/2023, 0256/2025, 0307/2022, 0452/2023, 0457/2023;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1857/ata/a26062025_-_30a_extraordinaria.pdf
30ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;26 de Junho de 2025;Adail Júnior, A driana Gerônimo, Aglaylson, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Cláudio Lima, Dr. Vicente, Gardel Rolim, Igor Nogueira, Inspetor Alberto, Irmão Leo, Janio Henrique, Juninho Aquino, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcos Paulo, Mari Lacerda, Michel Lins, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, René Pessoa, Tia Francisca, Tony Brito e Wellington Sabóia;Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Emanuel Acrízio, Estrela Barros, Gabriel Aguiar, Jorge Pinheiro, Julierme Sena, Paulo Martins, Priscila Costa, Ronaldo Martins e Tam Oliveira;0009/2025, 0077/2023, 0086/2023, 0256/2025, 0307/2022, 0452/2023, 0457/2023;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1857/ata/a26062025_-_30a_extraordinaria.pdf
29ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;26 de Junho de 2025;Adriana Gerônimo, Aglaylson, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Gardel Rolim, Igor Nogueira, Inspetor Alberto, Irmão Leo, Janio Henrique, Juninho Aquino, Leo Couto, Luiz Sérgio, Marcel Colares, Michel Lins, Paulo Martins, PP CELL, Professor Aguiar Toba, Raimundo Filho, Ronaldo Martins, Tam Oliveira e Tony Brito;Carla Ibiapina, Chiquinho dos Carneiros, Cláudio Lima, Dr. Luciano Girão, Dr. Vicente, Emanuel Acrízio, Estrela Barros, Gabriel Aguiar, Jorge Pinheiro, Julierme Sena, Luiz Paupina, Marcelo Mendes, Mari Lacerda, Priscila Costa, Professora Adriana Almeida, Professor Enilson, René Pessoa, Tia Francisca e Wellington Sabóia;0009/2025, 0077/2023, 0086/2023, 0256/2025, 0307/2022, 0452/2023, 0457/2023, 6206/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1856/ata/a26062025_-_29a_extrordinaria.pdf
29ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;26 de Junho de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Cláudio Lima, Dr. Vicente, Gardel Rolim, Igor Nogueira, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Juninho Aquino, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcos Paulo, Mari Lacerda, Michel Lins, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Raimundo Filho, Tia Francisca, Tony Brito e Wellington Sabóia;Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Emanuel Acrízio, Estrela Barros, Gabriel Aguiar, Julierme Sena, Marcelo Mendes, Paulo Martins, Priscila Costa, Professor Enilson, René Pessoa, Ronaldo Martins e Tam Oliveira;0009/2025, 0077/2023, 0086/2023, 0256/2025, 0307/2022, 0452/2023, 0457/2023, 6206/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1856/ata/a26062025_-_29a_extrordinaria.pdf
56ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;26 de Junho de 2025;Adriana Gerônimo, Aglaylson, Bella Carmelo, Bruno Mesquita, Chiquinho dos Carneiros, Cláudio Lima, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Igor Nogueira, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Juninho Aquino, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Tam Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Benigno Júnior, Carla Ibiapina, Emanuel Acrízio, Gardel Rolim, Julierme Sena, Priscila Costa, René Pessoa e Ronaldo Martins;0005/2025, 0007/2025, 0009/2025, 0015/2025, 0024/2025, 0029/2025, 0077/2023, 0083/2024, 0086/2019, 0086/2023, 0114/2025, 0158/2025, 0182/2024, 0215/2024, 0256/2025, 0358/2019, 0452/2023, 0457/2023, 0931/2025, 1027/2023, 1153/2025, 1229/2025, 1249/2025, 1314/2025, 1324/2025, 1361/2025, 1364/2025, 3861/2025, 4697/2025, 6154/2025, 6202/2025, 6206/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1855/ata/a26062025.pdf
56ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;26 de Junho de 2025;Adail Júnior, A driana Gerônimo, Aglaylson, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Chiquinho dos Carneiros, Cláudio Lima, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Gabriel Aguiar, Gardel Rolim, Igor Nogueira, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Julierme Sena, Juninho Aquino, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Priscila Costa, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, René Pessoa, Ronaldo Martins, Tam Oliveira, Tia Francisca, Tony Brito e Wellington Sabóia;Carla Ibiapina e Emanuel Acrízio;0005/2025, 0007/2025, 0009/2025, 0015/2025, 0024/2025, 0029/2025, 0077/2023, 0083/2024, 0086/2019, 0086/2023, 0114/2025, 0158/2025, 0182/2024, 0215/2024, 0256/2025, 0358/2019, 0452/2023, 0457/2023, 0931/2025, 1027/2023, 1153/2025, 1229/2025, 1249/2025, 1314/2025, 1324/2025, 1361/2025, 1364/2025, 3861/2025, 4697/2025, 6154/2025, 6202/2025, 6206/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1855/ata/a26062025.pdf
55ª Ordinária da 1ª Sessão Legislativa da 20ª Legislatura;25 de Junho de 2025;Adriana Gerônimo, Bella Carmelo, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Inspetor Alberto, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Professora Adriana Almeida, Professor Enilson, René Pessoa, Tia Francisca, Tony Brito e Wellington Sabóia;Aglaylson, Benigno Júnior, Bruno Mesquita, Cláudio Lima, Gabriel Aguiar, Gardel Rolim, Igor Nogueira, Irmão Leo, Julierme Sena, Juninho Aquino, Priscila Costa, Professor Aguiar Toba, Raimundo Filho, Ronaldo Martins e Tam Oliveira;;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1854/ata/a25062025.pdf
28ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;24 de Junho de 2025;Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Gabriel Aguiar, Gardel Rolim, Inspetor Alberto, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Marcel Colares, Marcelo Tchela, Michel Lins, Paulo Martins, PP CELL, Professor Aguiar Toba, Raimundo Filho, Tia Francisca e Tony Brito;Benigno Júnior, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Germano He-Man, Irmão Leo, Julierme Sena, Luiz Sérgio, Marcelo Mendes, Marcos Paulo, Mari Lacerda, Pedro Matos, Priscila Costa, Professora Adriana Almeida, Professor Enilson, Ronaldo Martins, Tam Oliveira e Wellington Sabóia;0028/2025, 0030/2025, 0031/2025, 0032/2025, 0033/2025, 0037/2025, 0038/2025, 0039/2025, 0424/2025, 0430/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1853/ata/a24062025_-_28a_extraordinaria.pdf
28ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 2;24 de Junho de 2025;Adail Júnior, Adriana Gerônimo, Aglaylson, Ana Aracapé, Bella Carmelo, Benigno Júnior, Bruno Mesquita, Carla Ibiapina, Chiquinho dos Carneiros, Dr. Luciano Girão, Dr. Vicente, Estrela Barros, Inspetor Alberto, Irmão Leo, Janio Henrique, Jorge Pinheiro, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Mendes, Marcelo Tchela, Mari Lacerda, Michel Lins, Paulo Martins, PP CELL, Professora Adriana Almeida, Professor Aguiar Toba, Raimundo Filho, René Pessoa, Tia Francisca e Tony Brito;Gabriel Aguiar, Gardel Rolim, Germano He-Man, Julierme Sena, Marcos Paulo, Pedro Matos, Priscila Costa, Professor Enilson, Ronaldo Martins, Tam Oliveira e Wellington Sabóia;0028/2025, 0030/2025, 0031/2025, 0032/2025, 0033/2025, 0037/2025, 0038/2025, 0039/2025, 0424/2025, 0430/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1853/ata/a24062025_-_28a_extraordinaria.pdf
27ª Extraordinária da 1ª Sessão Legislativa da 20ª Legislatura - Chamada 1;24 de Junho de 2025;Adriana Gerônimo, Aglaylson, Bella Carmelo, Benigno Júnior, Carla Ibiapina, Dr. Vicente, Estrela Barros, Gardel Rolim, Irmão Leo, Janio Henrique, Leo Couto, Luiz Paupina, Luiz Sérgio, Marcel Colares, Marcelo Tchela, Marcos Paulo, Mari Lacerda, Michel Lins, Paulo Martins, Professora Adriana Almeida, Professor Aguiar Toba, Professor Enilson, Raimundo Filho, Tia Francisca e Tony Brito;Ana Aracapé, Chiquinho dos Carneiros, Dr. Luciano Girão, Gabriel Aguiar, Germano He-Man, Inspetor Alberto, Jorge Pinheiro, Julierme Sena, Marcelo Mendes, Pedro Matos, PP CELL, Priscila Costa, René Pessoa, Ronaldo Martins, Tam Oliveira e Wellington Sabóia;0028/2025, 0030/2025, 0031/2025, 0032/2025, 0033/2025, 0037/2025, 0038/2025, 0039/2025, 0424/2025, 0430/2025;https://sapl.fortaleza.ce.leg.br/media/sapl/public/sessaoplenaria/1852/ata/a24062025_-_27a_extraordinaria.pdf
